@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.17L4.B1"        "BPM.16L4.B1"          6097.427595          6150.876111                    1      0.1330496708007                    0           0.13310466          13.73900275
         "BPM.16L4.B1"        "BPM.15L4.B1"          6150.876111          6204.324627                    1       0.100653212033                    0           0.10065973          13.87210741
         "BPM.15L4.B1"        "BPM.14L4.B1"          6204.324627          6257.773143                    1       0.125295061229                    0           0.12523924          13.97276714
         "BPM.14L4.B1"        "BPM.13L4.B1"          6257.773143          6311.221659                    1       0.118137123169                    0           0.11812008          14.09800638
         "BPM.13L4.B1"        "BPM.12L4.B1"          6311.221659          6364.670174                    1       0.133918677736                    0           0.13397661          14.21612646
         "BPM.12L4.B1"        "BPM.11L4.B1"          6364.670174           6418.11869                    1       0.092429936883                    0           0.09245112          14.35010307
         "BPM.11L4.B1"      "BPMCS.10L4.B1"           6418.11869          6469.765401                    1       0.105355388471                    0            0.1053259          14.44255419
       "BPMCS.10L4.B1"        "BPM.10L4.B1"          6469.765401          6469.957401                    1        0.00017278371                    0   0.0001727000000002          14.54788009
         "BPM.10L4.B1"       "BPMCS.9L4.B1"          6469.957401          6508.830412                    1      0.0618909989587                    0            0.0618623          14.54805279
        "BPMCS.9L4.B1"         "BPM.9L4.B1"          6508.830412          6509.022412                    1      0.0006054906894                    0   0.0006052500000013          14.60991509
          "BPM.9L4.B1"       "BPMCS.8L4.B1"          6509.022412          6549.293422                    1      0.0904852412875                    0           0.09046797          14.61052034
        "BPMCS.8L4.B1"         "BPM.8L4.B1"          6549.293422          6549.485422                    1      0.0002121915834                    0   0.0002122100000008          14.70098831
          "BPM.8L4.B1"       "BPMCS.7L4.B1"          6549.485422          6588.357433                    1       0.055051219306                    0           0.05506327          14.70120052
        "BPMCS.7L4.B1"         "BPM.7L4.B1"          6588.357433          6588.549433                    1       0.000385322555                    0   0.0003854600000004          14.75626379
          "BPM.7L4.B1"       "BPMYB.6L4.B1"          6588.549433          6685.153433                    1       0.080362717104                    0           0.08039899          14.75664925
        "BPMYB.6L4.B1"       "BPMYA.5L4.B1"          6685.153433          6722.153433                    1       0.014836836737                    0           0.01483718          14.83704824
        "BPMYA.5L4.B1"      "BPMWI.A5L4.B1"          6722.153433          6798.755933                    1       0.056083294771                    0           0.05605771          14.85188542
       "BPMWI.A5L4.B1"      "BPMWA.B5L4.B1"          6798.755933          6824.619933                    1       0.019537397251                    0           0.01952808          14.90794313
       "BPMWA.B5L4.B1"      "BPMWA.A5L4.B1"          6824.619933          6833.504933                    1       0.006589201029                    0           0.00658619          14.92747121
       "BPMWA.A5L4.B1"      "BPMWA.A5R4.B1"          6833.504933          6881.553933                    1       0.033506110679                    0           0.03349274           14.9340574
       "BPMWA.A5R4.B1"      "BPMWA.B5R4.B1"          6881.553933          6890.438933                    1       0.005692704156                    0           0.00569087          14.96755014
       "BPMWA.B5R4.B1"       "BPMYB.5R4.B1"          6890.438933          6992.829433                    1       0.052586039903                    0           0.05257719          14.97324101
        "BPMYB.5R4.B1"       "BPMYA.6R4.B1"          6992.829433          7024.393433                    1       0.022747823409                    0           0.02274909           15.0258182
        "BPMYA.6R4.B1"       "BPMCS.7R4.B1"          7024.393433          7120.717433                    1       0.113940008457                    0           0.11398241          15.04856729
        "BPMCS.7R4.B1"         "BPM.7R4.B1"          7120.717433          7120.909433                    1       0.000172096363                    0   0.0001721799999999           15.1625497
          "BPM.7R4.B1"       "BPMCS.8R4.B1"          7120.909433          7158.506443                    1       0.126153078698                    0           0.12618725          15.16272188
        "BPMCS.8R4.B1"         "BPM.8R4.B1"          7158.506443          7158.698443                    1       0.002244460783                    0           0.00224431          15.28890913
          "BPM.8R4.B1"       "BPMCS.9R4.B1"          7158.698443          7197.571454                    1       0.223095444033                    0           0.22301893          15.29115344
        "BPMCS.9R4.B1"         "BPM.9R4.B1"          7197.571454          7197.763454                    1   0.0002115471899999                    0   0.0002115299999996          15.51417237
          "BPM.9R4.B1"      "BPMCS.10R4.B1"          7197.763454          7238.034465                    1      0.0677081763231                    0           0.06771586           15.5143839
       "BPMCS.10R4.B1"        "BPM.10R4.B1"          7238.034465          7238.226465                    1      0.0006147069044                    0   0.0006148899999996          15.58209976
         "BPM.10R4.B1"        "BPM.11R4.B1"          7238.226465          7290.065175                    1      0.1005364881457                    0            0.1005819          15.58271465
         "BPM.11R4.B1"        "BPM.12R4.B1"          7290.065175          7344.788691                    1      0.1106488814078                    0           0.11067444          15.68329655
         "BPM.12R4.B1"        "BPM.13R4.B1"          7344.788691          7398.237207                    1       0.138227875628                    0           0.13817567          15.79397099
         "BPM.13R4.B1"        "BPM.14R4.B1"          7398.237207          7451.685723                    1       0.122808411993                    0           0.12278681          15.93214666
         "BPM.14R4.B1"        "BPM.15R4.B1"          7451.685723          7505.134239                    1       0.137831250252                    0           0.13789331          16.05493347
         "BPM.15R4.B1"        "BPM.16R4.B1"          7505.134239          7558.582755                    1       0.105389997405                    0            0.1054055          16.19282678
         "BPM.16R4.B1"        "BPM.17R4.B1"          7558.582755          7612.031271                    1       0.133934966687                    0           0.13387667          16.29823228
         "BPM.17R4.B1"        "BPM.18R4.B1"          7612.031271          7665.479786                    1       0.122808936989                    0           0.12278574          16.43210895
         "BPM.18R4.B1"        "BPM.19R4.B1"          7665.479786          7718.928302                    1      0.1378414361871                    0           0.13789794          16.55489469
